node1,node2,combined_score
COL1A1,COL6A3,982
P3H1,COL6A3,903
COLGALT1,COL6A3,901
ITGAV,COL6A3,912
P4HA1,COL6A3,913
LUM,COL6A3,792
ITGA1,COL6A3,915
PLOD2,COL6A3,917
ITGA5,COL6A3,709
RCN1,IGFBP7,906
SERPIND1,IGFBP7,900
LGALS1,IGFBP7,910
TIMP1,IGFBP7,935
SCG3,IGFBP7,903
LAMB1,IGFBP7,914
WFS1,IGFBP7,900
APOB,IGFBP7,906
APOA1,IGFBP7,908
C3,IGFBP7,916
VGF,IGFBP7,901
APOE,IGFBP7,911
LAMC1,IGFBP7,909
ADAM10,IGFBP7,900
CP,IGFBP7,909
KNG1,IGFBP7,907
VCAN,IGFBP7,927
TNC,IGFBP7,907
MFGE8,IGFBP7,913
CDH2,IGFBP7,912
APP,IGFBP7,907
VAMP3,ARPC2,907
MYH9,ARPC2,926
WASL,ARPC2,996
ARPC3,ARPC2,999
APOB,ARPC2,900
CLTA,ARPC2,906
HIP1R,ARPC2,931
ACTR3B,ARPC2,987
SYT1,ARPC2,900
ARPC1A,ARPC2,999
GAB1,ARPC2,902
CAPZA1,ARPC2,954
ACTR3,ARPC2,999
PACSIN2,ARPC2,902
AP2S1,ARPC2,905
STAM2,ARPC2,902
SCARB2,ARPC2,912
SH3GL1,ARPC2,928
RPS27A,ARPC2,905
RAB5A,ARPC2,916
EGFR,ARPC2,909
AP2M1,ARPC2,915
NCKAP1L,ARPC2,933
NCKIPSD,ARPC2,903
ARPC5,ARPC2,999
PPP5C,CCT3,924
EIF3D,CCT3,867
PSMA3,CCT3,804
AHSA1,CCT3,795
TUBB1,CCT3,916
USP11,CCT3,903
PPP2CB,CCT3,880
CDC37,CCT3,922
GNB4,CCT3,903
HSPE1,CCT3,790
TUBA4A,CCT3,923
EIF2S3,CCT3,817
EIF2S1,CCT3,779
CCT7,CCT3,999
TUBB2B,CCT3,922
PSMA6,CCT3,887
PFDN1,CCT3,925
GNB5,CCT3,919
EHD2,CCT3,860
STRN,CCT3,860
TUBB4A,CCT3,915
STAT3,CCT3,940
PSMA5,CCT3,892
CCT6A,CCT3,999
RPS3,CCT3,802
CCT5,CCT3,999
PPM1B,CCT3,870
MBNL1,CCT3,817
VBP1,CCT3,969
CCT8,CCT3,999
KPNB1,CCT3,708
GNG3,CCT3,900
RPL18A,STT3B,738
SEC61B,STT3B,768
MOGS,STT3B,952
RPN2,STT3B,999
SEC61A1,STT3B,940
DAD1,STT3B,989
RPL8,STT3B,737
RDH10,RETSAT,927
MAPK1,ABI2,904
WASL,ABI2,975
ARPC3,ABI2,948
ARPC1A,ABI2,911
MAPK3,ABI2,903
ACTR3,ABI2,938
PXN,ABI2,910
DOCK1,ABI2,939
ELMO2,ABI2,948
NCKAP1L,ABI2,981
NCKIPSD,ABI2,913
ARPC5,ABI2,949
ARPC2,ABI2,948
RCN1,ALB,907
APOH,ALB,888
VCL,ALB,723
SERPIND1,ALB,952
LGALS1,ALB,916
TIMP1,ALB,956
SCG3,ALB,903
DECR1,ALB,739
PON1,ALB,707
LAMB1,ALB,918
MPO,ALB,762
VTN,ALB,785
WFS1,ALB,906
APOC3,ALB,858
GAPDH,ALB,847
SPARC,ALB,950
HRG,ALB,946
APOB,ALB,986
APOA1,ALB,991
TTR,ALB,930
CAT,ALB,865
LRP1,ALB,945
GOT2,ALB,734
C3,ALB,972
VGF,ALB,913
APOE,ALB,979
ACTN4,ALB,938
LAMC1,ALB,915
ORM1,ALB,987
THBS1,ALB,942
ADAM10,ALB,933
VWF,ALB,973
MAPK3,ALB,757
A1BG,ALB,943
BCHE,ALB,757
FGF2,ALB,811
CP,ALB,980
STAT3,ALB,711
ICAM1,ALB,807
F13A1,ALB,912
KNG1,ALB,971
VCAN,ALB,935
TNC,ALB,930
AMBP,ALB,938
HPX,ALB,976
MFGE8,ALB,926
CDH2,ALB,956
PCYOX1L,ALB,900
EGFR,ALB,767
SERPING1,ALB,939
FERMT3,ALB,907
TJP1,ALB,732
OLA1,ALB,901
APP,ALB,965
IGFBP7,ALB,925
VCL,PTX3,902
CTSZ,PTX3,913
CTSH,PTX3,900
ALDOC,PTX3,900
NFKB1,PTX3,902
LTA4H,PTX3,901
LTF,PTX3,909
CTSD,PTX3,901
CHI3L1,PTX3,935
ORM1,PTX3,902
GGH,PTX3,900
LYZ,PTX3,904
ERP44,PTX3,900
CNN2,PTX3,903
FGF2,PTX3,847
FTH1,PTX3,902
KPNB1,PTX3,900
PDXK,PTX3,900
CSTB,PTX3,900
SLC32A1,SYN1,813
SLC17A7,SYN1,830
RAB3A,SYN1,981
STX1A,SYN1,962
PPFIA1,SYN1,936
SNAP25,SYN1,986
CAMK1,SYN1,867
SYT1,SYN1,984
SYP,SYN1,880
APBA1,SYN1,915
LIN7C,SYN1,902
HEBP1,PPBP,900
TIMP1,PPBP,933
CTSH,PPBP,900
C5,PPBP,906
ALDOC,PPBP,901
LTA4H,PPBP,903
SPARC,PPBP,910
LTF,PPBP,916
HRG,PPBP,921
GNB4,PPBP,900
CTSD,PPBP,904
C3,PPBP,922
ACTN4,PPBP,900
ORM1,PPBP,901
GGH,PPBP,900
THBS1,PPBP,935
LYZ,PPBP,916
VWF,PPBP,966
GNB5,PPBP,900
CNN2,PPBP,902
A1BG,PPBP,902
F13A1,PPBP,932
KNG1,PPBP,922
FTH1,PPBP,900
PCYOX1L,PPBP,900
SERPING1,PPBP,926
FERMT3,PPBP,913
OLA1,PPBP,900
APP,PPBP,904
CSTB,PPBP,900
GNG3,PPBP,900
ALB,PPBP,933
PTX3,PPBP,910
HEBP1,PF4,900
TIMP1,PF4,941
C5,PF4,900
SPARC,PF4,919
HRG,PF4,944
GNB4,PF4,900
C3,PF4,925
ACTN4,PF4,902
ORM1,PF4,905
THBS1,PF4,955
VWF,PF4,967
GNB5,PF4,900
ITGA2B,PF4,721
GNAO1,PF4,900
A1BG,PF4,903
FGF2,PF4,823
F13A1,PF4,934
KNG1,PF4,926
PCYOX1L,PF4,900
SERPING1,PF4,921
FERMT3,PF4,915
OLA1,PF4,900
APP,PF4,910
GNG3,PF4,900
ALB,PF4,942
PPBP,PF4,980
APOH,CLEC3B,910
LGALS3BP,CLEC3B,902
ITIH4,CLEC3B,911
ITGA3,ITGB5,982
ITGB4,ITGB5,755
VCL,ITGB5,935
LAMB1,ITGB5,768
ITGB8,ITGB5,907
COL1A1,ITGB5,743
VTN,ITGB5,965
LAMA4,ITGB5,785
SORBS3,ITGB5,905
LRP1,ITGB5,909
ACTN4,ITGB5,763
LAMA5,ITGB5,714
LAMC1,ITGB5,779
THBS1,ITGB5,705
ITGAV,ITGB5,988
ITGA2B,ITGB5,904
TUBB4A,ITGB5,800
PXN,ITGB5,935
MFGE8,ITGB5,774
MYL9,ITGB5,911
ITGA1,ITGB5,968
ITGA5,ITGB5,963
COL6A3,ITGB5,719
PSMA4,RPN1,909
PSMA3,RPN1,903
RPL18A,RPN1,980
PSMA2,RPN1,901
SEC61B,RPN1,996
RPL19,RPN1,966
MLEC,RPN1,839
RPS12,RPN1,939
MOGS,RPN1,969
RPN2,RPN1,999
SEC61A1,RPN1,999
SSR1,RPN1,962
CANX,RPN1,846
DAD1,RPN1,998
RPS16,RPN1,931
PSMB7,RPN1,905
RPL35,RPN1,981
PSMA6,RPN1,905
PSMD11,RPN1,902
PSMB1,RPN1,911
TRAM1,RPN1,907
RPL8,RPN1,996
SPCS2,RPN1,908
PSMD3,RPN1,905
SRP14,RPN1,902
PSMB6,RPN1,906
RPS11,RPN1,902
PSMA5,RPN1,906
RPS27A,RPN1,903
RPS3,RPN1,922
PSMB4,RPN1,906
STT3B,RPN1,999
C3,MASP1,798
SERPING1,MASP1,850
EIF2S1,METAP1,706
GSTM5,ADH5,700
ALDH2,ADH5,924
RETSAT,ADH5,919
OXCT1,BDH2,954
SLC32A1,BSN,708
SLC17A7,BSN,768
RAB3A,BSN,756
PPFIA1,BSN,708
SNAP25,BSN,734
SYP,BSN,769
ERC2,BSN,799
SYN1,BSN,787
PFKL,APEH,862
AAAS,HSPA4L,900
ST13,HSPA4L,916
AHSA1,HSPA4L,730
NUP155,HSPA4L,907
HSPE1,HSPA4L,718
DNAJB1,HSPA4L,987
NUP210,HSPA4L,901
HSPA12B,HSPA4L,944
HSPBP1,HSPA4L,917
CCT7,HSPA4L,752
NUP133,HSPA4L,903
DNAJB6,HSPA4L,952
NUP54,HSPA4L,901
GRPEL1,HSPA4L,811
HIKESHI,HSPA4L,931
RANBP2,HSPA4L,924
HSPA13,HSPA4L,937
NUP205,HSPA4L,901
NUP35,HSPA4L,900
SUPT16H,HMGB2,907
APEX1,HMGB2,961
SSRP1,HMGB2,888
GAPDH,ANXA5,811
MAPK3,ANXA5,713
STAT3,ANXA5,723
EGFR,ANXA5,738
ALB,ANXA5,805
SLC17A7,GRIA2,749
SNAP25,GRIA2,745
SYP,GRIA2,753
PRKCG,GRIA2,972
CDH2,GRIA2,962
SLC1A2,GRIA2,732
GRIA4,GRIA2,986
CMAS,NAA15,847
NAA50,NAA15,995
NAA25,NAA15,955
EIF5,ABCE1,833
EIF3E,ABCE1,742
FBL,ABCE1,901
ABCF2,ABCE1,952
SEC61B,ABCE1,963
RPL19,ABCE1,969
PRPF19,ABCE1,810
RPS12,ABCE1,976
ABCG2,ABCE1,726
MRPS7,ABCE1,818
RPS16,ABCE1,971
EIF3G,ABCE1,708
GRWD1,ABCE1,702
ABCB7,ABCE1,756
EIF2S1,ABCE1,711
RPL35,ABCE1,804
IPO5,ABCE1,855
EIF3J,ABCE1,988
RPL8,ABCE1,973
DDX18,ABCE1,926
NOP58,ABCE1,886
EIF4A3,ABCE1,841
RPS11,ABCE1,973
RPS27A,ABCE1,965
PELO,ABCE1,959
RPS3,ABCE1,911
CCT5,ABCE1,913
DENR,ABCE1,734
FARSB,ABCE1,854
NUBP1,ABCE1,753
EIF5B,ABCE1,757
CCT3,ABCE1,825
NAA15,ABCE1,882
EIF3D,RPS23,959
EIF5,RPS23,941
EEF1A2,RPS23,911
EIF3E,RPS23,998
FBL,RPS23,993
RPL18A,RPS23,999
SEC61B,RPS23,996
EDF1,RPS23,723
RPL19,RPS23,999
RPS12,RPS23,999
RRP9,RPS23,981
RPN2,RPS23,900
SEC61A1,RPS23,998
SSR1,RPS23,904
MRPS7,RPS23,951
EIF3K,RPS23,981
RPS16,RPS23,999
EIF2S3,RPS23,997
EIF3G,RPS23,998
EEFSEC,RPS23,942
EIF2S1,RPS23,993
CCT7,RPS23,738
RPL35,RPS23,999
RTCA,RPS23,741
EIF3J,RPS23,932
TRAM1,RPS23,900
RPL8,RPS23,999
SPCS2,RPS23,900
NOP58,RPS23,980
EIF4H,RPS23,948
SRP14,RPS23,997
EIF4A3,RPS23,927
RPS11,RPS23,999
RPS27A,RPS23,999
MRPS5,RPS23,838
PELO,RPS23,949
RPS3,RPS23,999
DENR,RPS23,887
EIF5B,RPS23,990
EIF4A1,RPS23,951
RPN1,RPS23,902
ABCE1,RPS23,979
NDUFB4,NDUFS4,999
UQCRC1,NDUFS4,954
ATP5F1D,NDUFS4,940
NDUFB7,NDUFS4,999
NDUFS7,NDUFS4,999
NDUFB3,NDUFS4,999
COX6B1,NDUFS4,880
NDUFA2,NDUFS4,999
NDUFA10,NDUFS4,996
COX5B,NDUFS4,892
NDUFB5,NDUFS4,999
NDUFS3,NDUFS4,999
NDUFA9,NDUFS4,999
UQCRC2,NDUFS4,978
NDUFB10,NDUFS4,999
ECSIT,NDUFS4,933
NDUFS6,NDUFS4,999
NDUFB11,NDUFS4,999
NDUFB9,NDUFS4,999
NDUFC2,NDUFS4,999
ATP5PO,NDUFS4,984
ATP6V0D1,NDUFS4,834
SF3A1,TCERG1,971
SNRPD3,TCERG1,856
SF3A2,TCERG1,947
PRPF19,TCERG1,820
SF3B6,TCERG1,827
RBM39,TCERG1,824
SNRPA1,TCERG1,951
PRPF38A,TCERG1,838
SRSF1,TCERG1,802
SNW1,TCERG1,867
RBM25,TCERG1,933
SNRNP40,TCERG1,852
SF3B4,TCERG1,978
GDPD1,ENPP6,906
CSNK2A1,MAP1B,908
PSMA4,UBLCP1,837
PSMC4,UBLCP1,938
PSMD8,UBLCP1,832
PSMD7,UBLCP1,881
ECPAS,UBLCP1,743
PSMC1,UBLCP1,952
PSMD11,UBLCP1,910
PSMB1,UBLCP1,717
PSMD3,UBLCP1,957
PSMA5,UBLCP1,727
AAAS,NPM1,901
APEX1,NPM1,766
FBL,NPM1,805
NUP155,NPM1,906
NUP210,NPM1,901
KRAS,NPM1,714
NUP133,NPM1,910
RPL8,NPM1,773
NSUN2,NPM1,971
NUP54,NPM1,910
CDK2,NPM1,866
SMARCA5,NPM1,931
RANBP2,NPM1,942
NUP205,NPM1,907
KPNB1,NPM1,933
NUP35,NPM1,904
TCERG1,NPM1,751
C3,SCIN,789
TMOD2,SCIN,751
TMOD1,SCIN,809
ARF5,CYTH3,966
PLEK,CYTH3,708
GNA12,CYTH3,905
SRSF1,TRA2A,811
RBM25,TRA2A,840
SNAP29,COG5,912
DCTN6,COG5,902
YKT6,COG5,932
COPB1,COG5,959
ACTR10,COG5,902
DYNC1LI2,COG5,900
STX6,COG5,944
DCTN3,COG5,900
ARL1,COG5,911
TMED2,COG5,902
COPE,COG5,904
CAPZA1,COG5,902
NAPA,COG5,902
SPTBN4,COG5,900
ARCN1,COG5,909
ANK1,COG5,900
PRKAR2B,COG5,741
DYNC1LI1,COG5,902
VPS51,COG5,949
ANK3,COG5,900
RAB6B,COG5,910
BST2,CAMLG,710
AAAS,HSPA9,903
TIMM13,HSPA9,949
TOMM22,HSPA9,970
ST13,HSPA9,942
ACO2,HSPA9,961
IDH3G,HSPA9,909
FIS1,HSPA9,705
TPI1,HSPA9,767
NUP155,HSPA9,903
HSPE1,HSPA9,982
CLPP,HSPA9,705
TRAP1,HSPA9,845
CANX,HSPA9,808
HSPB1,HSPA9,746
PMPCB,HSPA9,960
MTX2,HSPA9,905
DNAJB1,HSPA9,989
NUP210,HSPA9,902
HSPA12B,HSPA9,954
HSPBP1,HSPA9,785
CCT7,HSPA9,803
NUP133,HSPA9,909
ATP5F1B,HSPA9,976
DNAJB6,HSPA9,966
DNAJA3,HSPA9,952
CHCHD3,HSPA9,932
NUP54,HSPA9,910
SDHA,HSPA9,737
GRPEL1,HSPA9,999
VDAC1,HSPA9,988
AFG3L2,HSPA9,845
SOD1,HSPA9,708
TIMM44,HSPA9,999
HIKESHI,HSPA9,918
CCT5,HSPA9,728
SLC25A4,HSPA9,920
RANBP2,HSPA9,933
TOMM70,HSPA9,966
HSPA13,HSPA9,924
NUP205,HSPA9,906
CCT8,HSPA9,703
CHCHD6,HSPA9,911
CLPB,HSPA9,845
NUP35,HSPA9,902
HSPA4L,HSPA9,978
MAPK1,FABP5,905
ARSA,FABP5,900
CTSG,FABP5,900
PYGB,FABP5,908
MPO,FABP5,902
CTSC,FABP5,905
ENO1,FABP5,881
TTR,FABP5,917
LIPE,FABP5,943
GOT2,FABP5,774
C3,FABP5,905
PYCARD,FABP5,900
PIN1,FABP5,812
ACLY,FABP5,923
ACTR10,FABP5,900
GNS,FABP5,900
GGH,FABP5,902
SDCBP,FABP5,904
LYZ,FABP5,903
HEXB,FABP5,900
FAF2,FABP5,900
ARSB,FABP5,900
GALNS,FABP5,900
AKR1B1,FABP5,895
CCT8,FABP5,902
ITGA3,COL1A2,705
DCN,COL1A2,974
PLOD1,COL1A2,948
PCOLCE,COL1A2,976
PLOD3,COL1A2,936
COL1A1,COL1A2,999
SPARC,COL1A2,992
P3H1,COL1A2,970
COLGALT1,COL1A2,910
ITGAV,COL1A2,925
ITGA2B,COL1A2,746
P4HA1,COL1A2,936
LUM,COL1A2,995
CDH11,COL1A2,770
ITGA1,COL1A2,930
PLOD2,COL1A2,960
ITGA5,COL1A2,730
COL6A3,COL1A2,988
ITGB5,COL1A2,730
PYGM,PGAM2,703
ALDOC,PGAM2,902
GAPDH,PGAM2,835
TPI1,PGAM2,915
ENO1,PGAM2,978
ZW10,RAD21,913
STAG2,RAD21,999
PPP2CB,RAD21,935
MSH2,RAD21,810
MSH6,RAD21,959
TERF2,RAD21,911
DYNC1LI2,RAD21,902
LMNB1,RAD21,923
NUP133,RAD21,909
PPP2R5A,RAD21,905
TAOK1,RAD21,904
MCM4,RAD21,749
CLASP1,RAD21,902
DYNC1LI1,RAD21,903
RANBP2,RAD21,911
SMC2,RAD21,901
TAX1BP3,TMEM65,812
ACAA2,TMEM65,814
ABCG2,ALDH1A1,708
RDH10,ALDH1A1,893
ADH5,ALDH1A1,846
DCN,COL14A1,807
PLOD1,COL14A1,916
PLOD3,COL14A1,913
COL1A1,COL14A1,937
P3H1,COL14A1,918
COLGALT1,COL14A1,903
P4HA1,COL14A1,908
PLOD2,COL14A1,916
COL6A3,COL14A1,932
COL1A2,COL14A1,942
RPS27A,WNK2,900
CAP2,CFL2,709
AKR1B1,CFL2,723
PYGM,PGM2L1,922
PYGL,PGM2L1,940
PYGB,PGM2L1,923
AGL,PGM2L1,914
THY1,FOLR2,900
CD109,FOLR2,901
INPP4A,INPPL1,955
RRM2B,INPPL1,853
ITPKA,INPPL1,925
PIK3CA,INPPL1,925
ITPK1,INPPL1,929
RALA,ARF6,845
ITGA3,ARF6,900
VAMP3,ARF6,957
GNA11,ARF6,928
MAPK1,ARF6,931
WASL,ARF6,706
EXOC2,ARF6,964
CLTA,ARF6,916
MAPK8IP3,ARF6,968
EXOC4,ARF6,958
ITGAV,ARF6,903
SPAG9,ARF6,993
ITGA2B,ARF6,902
GAB1,ARF6,905
MAPK3,ARF6,940
PLD2,ARF6,970
AP2S1,ARF6,915
PIK3CA,ARF6,915
RAB7A,ARF6,774
PXN,ARF6,964
SCAMP2,ARF6,706
EGFR,ARF6,951
ITGA1,ARF6,900
GNAQ,ARF6,954
AP2M1,ARF6,926
ITGA5,ARF6,902
TBC1D24,ARF6,950
CYTH3,ARF6,998
STUB1,TRIM9,907
SKP1,TRIM9,906
UBE3A,TRIM9,906
RNF114,TRIM9,900
UBE2M,TRIM9,900
SNAP25,TRIM9,872
UBE2K,TRIM9,904
ELOB,TRIM9,904
BBOX1,TRIM9,731
CUL3,TRIM9,907
FBXL20,TRIM9,902
FBXO7,TRIM9,900
RPS27A,TRIM9,900
UBE2L6,TRIM9,900
TXN2,PRDX3,985
GSR,PRDX3,716
NDUFS7,PRDX3,728
CAT,PRDX3,890
PRDX1,PRDX3,885
PRDX5,PRDX3,902
SOD1,PRDX3,785
GAPDH,HPRT1,849
ATIC,HPRT1,952
GDA,HPRT1,953
NT5C,HPRT1,902
AMPD2,HPRT1,943
NT5E,HPRT1,926
GMPR,HPRT1,931
PPAT,HPRT1,790
ADK,HPRT1,774
RHOB,ARHGEF40,909
RHOC,ARHGEF40,909
AAAS,CPSF2,903
SF3A1,CPSF2,939
SNRPD3,CPSF2,903
PHF5A,CPSF2,908
PABPN1,CPSF2,960
CSTF1,CPSF2,997
HNRNPL,CPSF2,914
SF3A2,CPSF2,910
DDX5,CPSF2,915
PRPF19,CPSF2,917
SRSF9,CPSF2,918
NUP155,CPSF2,914
SF3B6,CPSF2,906
WDR77,CPSF2,842
DDX39A,CPSF2,947
SNRPA,CPSF2,946
SNRPC,CPSF2,910
SYMPK,CPSF2,999
SNRPB2,CPSF2,923
LSM8,CPSF2,903
LSM7,CPSF2,907
FUS,CPSF2,914
SNRPA1,CPSF2,909
NUP210,CPSF2,912
PRPF38A,CPSF2,914
SRSF1,CPSF2,919
NUP133,CPSF2,902
SNW1,CPSF2,928
SNRNP40,CPSF2,928
DNAJC8,CPSF2,908
NUP54,CPSF2,903
PRPF6,CPSF2,914
CPSF6,CPSF2,970
SNRPF,CPSF2,910
DHX38,CPSF2,915
EIF4A3,CPSF2,918
SF3B4,CPSF2,927
HNRNPU,CPSF2,917
RANBP2,CPSF2,904
NUP205,CPSF2,904
PPIL3,CPSF2,902
NUP35,CPSF2,910
GORASP2,JAM3,845
TJP1,JAM3,938
VPS18,VPS35,755
SNX8,VPS35,758
SNX3,VPS35,999
SNX4,VPS35,794
SORT1,VPS35,845
SORL1,VPS35,946
DNAJC13,VPS35,833
SNX1,VPS35,998
RAB7A,VPS35,932
RAB5A,VPS35,730
VPS26B,VPS35,999
ACO2,CKB,863
ACTN4,CKB,880
PSMD8,COPS2,820
PSMA2,COPS2,700
SKP1,COPS2,921
PLCG1,COPS2,900
PSMD11,COPS2,736
YY1,COPS2,907
ELOB,COPS2,907
COMMD9,COPS2,904
COPS4,COPS2,999
CUL3,COPS2,977
RBBP5,COPS2,917
PSMD3,COPS2,895
FBXL20,COPS2,900
FBXO7,COPS2,953
COPS3,COPS2,999
RPS27A,COPS2,936
DCUN1D1,COPS2,921
SPR,PCBD1,789
QDPR,PCBD1,985
PPP5C,CCT2,922
PSMA4,CCT2,867
MAPK1,CCT2,919
ARSA,CCT2,900
CTSG,CCT2,901
PSMA3,CCT2,937
PYGB,CCT2,905
TUBB1,CCT2,913
USP11,CCT2,903
EIF3E,CCT2,723
PPP2CB,CCT2,883
CDC37,CCT2,934
RPL18A,CCT2,802
PSMA2,CCT2,782
MPO,CCT2,900
CTSC,CCT2,903
RPS12,CCT2,731
GNB4,CCT2,903
HSPE1,CCT2,830
TTR,CCT2,902
SSR1,CCT2,869
C3,CCT2,900
PYCARD,CCT2,900
TUBA4A,CCT2,907
RPS16,CCT2,790
TRIM28,CCT2,814
EIF2S3,CCT2,836
ACLY,CCT2,921
ACTR10,CCT2,925
EIF2S1,CCT2,948
CCT7,CCT2,999
GNS,CCT2,900
TUBB2B,CCT2,915
GGH,CCT2,907
SDCBP,CCT2,903
LYZ,CCT2,907
HEXB,CCT2,902
PSMA6,CCT2,813
PSMD11,CCT2,730
PFDN1,CCT2,951
GNB5,CCT2,910
FAF2,CCT2,906
RPL8,CCT2,847
STRN,CCT2,860
TUBB4A,CCT2,917
NOP58,CCT2,871
STAT3,CCT2,904
ARSB,CCT2,900
GALNS,CCT2,900
RPS11,CCT2,792
PSMA5,CCT2,929
CCT6A,CCT2,999
RPS3,CCT2,946
CCT5,CCT2,999
VBP1,CCT2,955
CCT8,CCT2,999
KPNB1,CCT2,869
PSMB4,CCT2,742
GNG3,CCT2,900
CCT3,CCT2,999
RPS23,CCT2,769
HSPA9,CCT2,783
FABP5,CCT2,901
C5,C2,963
C3,C2,984
MASP1,C2,941
DLD,IDH3A,767
ACO2,IDH3A,998
IDH3G,IDH3A,999
OGDH,IDH3A,985
GOT2,IDH3A,860
ACLY,IDH3A,746
ATP5F1B,IDH3A,893
SDHA,IDH3A,777
UQCRC2,IDH3A,710
GLUD1,IDH3A,914
DLAT,IDH3A,710
NT5C,TK2,831
RRM2B,TK2,871
SAMHD1,TK2,795
HBZ,CENPV,760
RCN1,HSP90B1,983
SERPIND1,HSP90B1,902
LGALS1,HSP90B1,911
AHSA1,HSP90B1,796
TIMP1,HSP90B1,906
SCG3,HSP90B1,902
CDC37,HSP90B1,947
LAMB1,HSP90B1,905
WFS1,HSP90B1,964
APOB,HSP90B1,941
HSPE1,HSP90B1,756
APOA1,HSP90B1,909
RPN2,HSP90B1,978
LRP1,HSP90B1,873
SSR1,HSP90B1,703
C3,HSP90B1,909
CANX,HSP90B1,979
VGF,HSP90B1,900
APOE,HSP90B1,922
DNAJB1,HSP90B1,738
LAMC1,HSP90B1,906
ADAM10,HSP90B1,910
KPNA3,HSP90B1,830
FAF2,HSP90B1,885
AKT3,HSP90B1,760
DNAJC10,HSP90B1,971
CP,HSP90B1,907
KNG1,HSP90B1,904
VCAN,HSP90B1,906
TNC,HSP90B1,900
MFGE8,HSP90B1,915
CDH2,HSP90B1,908
APP,HSP90B1,931
PDIA4,HSP90B1,991
IGFBP7,HSP90B1,900
ALB,HSP90B1,943
HSPA4L,HSP90B1,709
HSPA9,HSP90B1,920
CCT2,HSP90B1,727
COL1A1,PPIB,952
P3H1,PPIB,995
TIMM44,PPIB,824
PDIA4,PPIB,871
COL6A3,PPIB,902
COL1A2,PPIB,952
COL14A1,PPIB,900
HSP90B1,PPIB,893
GSS,ANPEP,903
MPO,ANPEP,736
CD38,ANPEP,707
LAP3,ANPEP,939
GCLC,ANPEP,938
GOT2,ANPEP,866
NT5E,ANPEP,798
GGH,ANPEP,901
KYAT3,ANPEP,903
ITGA2B,ANPEP,741
GGCT,ANPEP,902
THY1,ANPEP,800
ARF5,DCTN5,902
FKBP4,DCTN5,902
DCTN6,DCTN5,998
YKT6,DCTN5,904
COPB1,DCTN5,905
ACTR10,DCTN5,985
DYNC1LI2,DCTN5,986
DCTN3,DCTN5,946
KLC4,DCTN5,901
TMED2,DCTN5,903
COPE,DCTN5,917
CAPZA1,DCTN5,974
ARFGAP3,DCTN5,900
SPTBN4,DCTN5,900
ARCN1,DCTN5,901
RAB7A,DCTN5,903
ANK1,DCTN5,900
DYNC1LI1,DCTN5,956
ANK3,DCTN5,913
RAB6B,DCTN5,900
ACTR1B,DCTN5,997
COG5,DCTN5,903
HSPE1,CLPX,839
CLPP,CLPX,999
GRPEL1,CLPX,860
CLPB,CLPX,945
NRBP1,TSC22D4,825
ADAM10,TSC22D4,705
SLC4A1,EPB42,939
ANK1,EPB42,775
MAPRE3,MAPRE2,735
MCM4,MAPRE2,855
MCM6,MAPRE2,991
VAMP3,PDIA3,908
RPN2,PDIA3,929
SEC61A1,PDIA3,872
CANX,PDIA3,998
SNAP23,PDIA3,911
UGGT1,PDIA3,772
STAT3,PDIA3,775
HSP90B1,PDIA3,980
PPIB,PDIA3,947
HSPB11,NUDT21,732
SF3A1,NUDT21,922
SNRPD3,NUDT21,965
PHF5A,NUDT21,950
PABPN1,NUDT21,976
CSTF1,NUDT21,981
HNRNPL,NUDT21,972
SF3A2,NUDT21,913
DDX5,NUDT21,908
PRPF19,NUDT21,959
SRSF9,NUDT21,926
SF3B6,NUDT21,957
DDX39A,NUDT21,941
SNRPA,NUDT21,975
SNRPC,NUDT21,935
SYMPK,NUDT21,972
SNRPB2,NUDT21,957
LSM8,NUDT21,938
LSM7,NUDT21,931
FUS,NUDT21,923
SNRPA1,NUDT21,942
PRPF38A,NUDT21,915
SRSF1,NUDT21,968
SNW1,NUDT21,909
SNRNP40,NUDT21,935
DNAJC8,NUDT21,934
PRPF6,NUDT21,909
CPSF6,NUDT21,999
SNRPF,NUDT21,975
DHX38,NUDT21,905
EIF4A3,NUDT21,926
SF3B4,NUDT21,908
NONO,NUDT21,700
HNRNPU,NUDT21,957
PPIL3,NUDT21,902
CPSF2,NUDT21,977
AAAS,SNRPD1,913
SF3A1,SNRPD1,991
SNRPD3,SNRPD1,999
PHF5A,SNRPD1,999
PABPN1,SNRPD1,934
CSTF1,SNRPD1,917
HNRNPL,SNRPD1,986
SF3A2,SNRPD1,998
FBL,SNRPD1,777
DDX5,SNRPD1,943
PRPF19,SNRPD1,999
SART3,SNRPD1,713
SRSF9,SNRPD1,948
NUP155,SNRPD1,913
SF3B6,SNRPD1,977
WDR77,SNRPD1,959
SNRPA,SNRPD1,998
SNRPC,SNRPD1,998
SYMPK,SNRPD1,953
SNRPB2,SNRPD1,999
LSM8,SNRPD1,999
LSM7,SNRPD1,999
FUS,SNRPD1,912
SNRPA1,SNRPD1,999
NUP210,SNRPD1,902
PRPF38A,SNRPD1,996
SRSF1,SNRPD1,984
NUP133,SNRPD1,917
SNW1,SNRPD1,997
RBM25,SNRPD1,842
SNRNP40,SNRPD1,998
DNAJC8,SNRPD1,927
NUP54,SNRPD1,933
PRPF6,SNRPD1,999
SNRPF,SNRPD1,999
DHX38,SNRPD1,969
EIF4A3,SNRPD1,994
SF3B4,SNRPD1,985
NHP2,SNRPD1,816
